ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Alejandro Farias,NE,M,25,24,3,0,3,0,0.13,1997
Greg Vanney,LA,D,28,27,3,0,2,1,0.12,1997
Uche Okafor,KC,D,27,27,3,0,0,3,0.11,1997
Jeff Agoos,DC,D,29,27,3,2,0,3,0.11,1997
Tim Martin,SJ,D,28,28,3,0,3,0,0.11,1997
Martin Vasquez,TB,M,28,28,3,0,2,1,0.11,1997
Marcelo Balboa,COL,D,28,28,3,2,3,0,0.11,1997
Alexi Lalas,NE,D,30,29,3,2,3,0,0.1,1997
Matt Kmosko,COL,D,31,31,3,1,3,0,0.1,1997
Guillermo Jara,LA,M,15,2,2,1,1,1,0.51,1997
Edmundo Rodriguez,KC,M,16,4,2,0,2,0,0.33,1997
Marco Ferruzzi,TB,M,19,5,2,1,1,1,0.31,1997
Branco,MET,D,11,11,2,0,1,1,0.2,1997
Nelson Vargas,TB,M,21,9,2,0,2,0,0.19,1997
Joe-Max Moore,NE,F,13,12,2,1,0,2,0.18,1997
Jason Farrell,CLB,F,18,10,2,0,1,1,0.18,1997
Manny Lagos,MET,M,15,15,2,1,2,0,0.15,1997
Marcelo Carrera,CLB,F,20,14,2,0,1,1,0.15,1997
Sergio Miguez,CLB,D,17,16,2,1,1,1,0.13,1997
Paul Caligiuri,LA,D,16,16,2,0,0,2,0.13,1997
Diego Sonora,DAL,M-D,16,16,2,1,1,1,0.13,1997
Adam Frye,TB,D,18,17,2,1,2,0,0.13,1997
Shaun Bartlett,COL,F,23,15,2,0,2,0,0.12,1997
Tote Castaneda,COL,M,24,18,2,1,1,1,0.11,1997
Mike Lapper,CLB,D,20,20,2,1,2,0,0.1,1997
David Vaudreuil,DC,D,25,19,2,0,2,0,0.1,1997
Troy Dayak,SJ,D,21,21,2,0,0,2,0.1,1997
Roy Lassiter,TB,F,24,23,2,2,2,0,0.1,1997
Tom Soehn,DAL,D,25,21,2,0,1,1,0.09,1997
Jeff Baicher,SJ,M,32,20,2,0,2,0,0.09,1997
Brian Bliss,CLB,D,28,24,2,0,2,0,0.09,1997
Danny Pena,LA,D,27,26,2,1,2,0,0.08,1997
Michael Emenalo,SJ,D,27,26,2,0,1,1,0.08,1997
Cle Kooiman,TB,D,27,27,2,0,0,2,0.08,1997
Mike Clark,CLB,D,31,28,2,1,2,0,0.07,1997
Eddie Pope,DC,D,29,29,2,2,2,0,0.07,1997
Mike Burns,NE,M,32,32,2,1,2,0,0.06,1997
Gerson Echeverry,MET,F,1,1,1,0,1,0,1.22,1997
Jose Botello,LA,F,7,0,1,0,0,1,0.6,1997
Daniel Guzman,SJ,F,3,3,1,0,0,1,0.41,1997
