ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Micah Cooks,DC,3,1,0,0,0,0,0,0,2001
Chad Prince,CHI,2,1,0,0,0,0,0,0,2001
Randy Merkel,MIA,2,1,0,0,0,0,0,0,2001
Mersim Beskovic,MET,2,3,0,0,0,0,0,0,2001
Fausto Klinger,MET,3,1,0,0,0,0,0,0,2001
Josue Mayard,DAL,2,3,0,0,0,0,0,0,2001
Kevin Adams,CLB,2,5,0,0,0,0,0,0,2001
John DeBrito,CLB,2,2,0,0,0,0,0,0,2001
Matt Chulis,CHI,2,1,1,0,0,0,0,0,2001
Chad McCarty,TB,2,2,2,0,0,0,0,0,2001
Jose Burciaga Jr.,KC,2,3,2,0,0,0,0,0,2001
Tim Sahaydak,MIA,2,4,2,0,0,0,0,0,2001
Nick Downing,NE,2,5,3,0,0,0,0,0,2001
Diego Sonora,TB,3,4,4,0,0,0,0,0,2001
Mark Semioli,MET,2,14,6,0,0,0,0,0,2001
Tahj Jakins,KC,2,10,7,0,0,0,0,0,2001
Scott Cannon,TB,2,9,8,0,0,0,0,0,2001
Ansil Elcock,CLB,2,15,6,0,0,0,0,0,2001
Alan Woods,NE,2,18,15,0,0,0,0,0,2001
Carlos Llamosa,MIA,2,20,20,0,0,0,0,0,2001
Orlando Perez,MET,2,24,21,0,0,0,0,0,2001
Rusty Pierce,NE,2,23,22,0,0,0,0,0,2001
Nick Garcia,KC,2,24,24,0,0,0,0,0,2001
Mauricio Wright,NE,2,24,24,0,0,0,0,0,2001
Carlos Semedo,NE,2,9,8,1,0,1,0,0.14,2002
Billy Sleeth,CHI,2,13,7,1,1,0,1,0.11,2002
Joseph Addo,MET,2,15,10,1,0,0,1,0.1,2002
Carlos Llamosa,NE,2,14,13,1,0,0,1,0.09,2002
David Vaudreuil,CHI,2,17,14,1,0,1,0,0.07,2002
Eddie Pope,DC,2,17,16,1,0,0,1,0.06,2002
Carey Talley,KC,2,24,19,1,0,1,0,0.05,2002
Daniel Torres,CLB,2,25,23,1,1,0,1,0.04,2002
Steve Jolley,MET,2,27,26,1,1,0,1,0.04,2002
Brian Dunseth,CLB,2,27,26,1,1,0,1,0.04,2002
Jose Burciaga Jr.,KC,2,0,0,0,0,0,0,0,2002
Leo Krupnik,MET,2,0,0,0,0,0,0,0,2002
Josue Mayard,DAL,2,0,0,0,0,0,0,0,2002
Marcelo Balboa,MET,2,1,0,0,0,0,0,0,2002
John Wilson,MET,2,1,0,0,0,0,0,0,2002
Lee Morrison,DAL,2,3,1,0,0,0,0,0,2002
Evan Whitfield,CHI,2,2,2,0,0,0,0,0,2002
Mike Lapper,CLB,2,4,1,0,0,0,0,0,2002
Chris Brunt,KC,2,5,2,0,0,0,0,0,2002
Matt Behncke,DAL,2,3,2,0,0,0,0,0,2002
Nelson Akwari,MET,2,7,3,0,0,0,0,0,2002
Sam Forko,MET,2,9,3,0,0,0,0,0,2002
Bryan Namoff,DC,2,11,5,0,0,0,0,0,2002
Richard Farrer,DAL,2,8,7,0,0,0,0,0,2002
Nick Downing,NE,2,12,5,0,0,0,0,0,2002
Daouda Kante,NE,2,8,8,0,0,0,0,0,2002
Chris Leitch,CLB,2,13,11,0,0,0,0,0,2002
Rusty Pierce,NE,2,14,13,0,0,0,0,0,2002
Orlando Perez,CHI,2,21,11,0,0,0,0,0,2002
Peter Vermes,KC,2,13,13,0,0,0,0,0,2002
Mike Clark,CLB,2,21,19,0,0,0,0,0,2002
Craig Ziadie,DC,2,21,18,0,0,0,0,0,2002
Jim Curtin,CHI,2,24,22,0,0,0,0,0,2002
Steve Morrow,DAL,2,24,24,0,0,0,0,0,2002
Tenywa Bonseu,DAL,2,27,27,0,0,0,0,0,2002
Brandon Prideaux,DC,2,27,26,0,0,0,0,0,2002
Mike Petke,MET,2,27,27,0,0,0,0,0,2002
Carey Talley,KC,2,20,13,1,0,0,1,0.07,2003
Bryan Namoff,DC,2,22,17,1,0,1,0,0.05,2003
C.J. Brown,CHI,2,21,19,1,0,1,0,0.05,2003
Kelly Gray,CHI,3,28,20,1,1,0,1,0.05,2003
Galin Ivanov,DC,2,24,22,1,0,1,0,0.04,2003
Ezra Hendrickson,DAL,2,28,25,1,0,1,0,0.04,2003
Evan Whitfield,CHI,2,27,25,1,0,0,1,0.04,2003
Eric Denton,CLB,2,26,25,1,0,0,1,0.04,2003
Jay Heaps,NE,2,28,28,1,0,1,0,0.03,2003
Mike Clark,CLB,2,29,29,1,0,0,1,0.03,2003
Jim Curtin,CHI,2,30,30,1,0,0,1,0.03,2003
Jimmy Conrad,KC,2,30,30,1,0,1,0,0.03,2003
Tim Glowienka,MET,2,0,0,0,0,0,0,0,2003
Kevin Friedland,KC,2,0,0,0,0,0,0,0,2003
David Stokes,DC,2,0,0,0,0,0,0,0,2003
Nick Downing,NE,2,0,0,0,0,0,0,0,2003
Taylor Graham,KC,2,2,0,0,0,0,0,0,2003
Chris Brunt,KC,2,4,2,0,0,0,0,0,2003
Jose Burciaga Jr.,KC,2,4,4,0,0,0,0,0,2003
Mark Williams,CLB,2,5,5,0,0,0,0,0,2003
Kenny Arena,MET,2,10,5,0,0,0,0,0,2003
